ubicacion,codigo_ine,Viviendas totales,Mediana consumo anual,Viviendas con bajo consumo,Viviendas de uso esporádico,%_casas_vacias,prev_res_misma_vivienda,prev_res_mismo_municipio,prev_res_misma_provincia,prev_res_misma_comunidad,prev_res_dif_comunidad,prev_res_en_extranjero,prev_res_no_nacido,Poblacion,Poblacion_-16,Poblacion_16-64,Poblacion_+65,Hombres,Hombres_-16,Hombres_16-64,Hombres_+65,Mujeres,Mujeres_-16,Mujeres_16-64,Mujeres_+65,Comunidad Autónoma,Provincia,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,SUPERFICIE,PERIMETRO,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD
    04001 Abla,04001,1076,1536,79,173,20.910780669144984,336,585,151,23,42,43,80,1260,132,757,371,648,75,401,172,612,57,356,199,Andalucía,Almería,73,5,7,29,0,14,21,13,2,7,43,6,4524.4244,46589,-2.77953953,37.1412099,853.0
    04002 Abrucena,04002,921,1646,67,161,15.092290988056462,230,635,161,20,40,57,69,1212,108,762,342,640,59,418,163,572,49,344,179,Andalucía,Almería,50,1,5,17,4,15,10,6,5,5,32,5,8367.747,58614,-2.7974669,37.13218285,986.0
    04003 Adra,04003,12315,2133,419,1252,9.654892407632968,7564,11624,961,544,445,1665,2679,25482,4374,17432,3676,13062,2297,9124,1641,12420,2077,8308,2035,Andalucía,Almería,1689,85,234,341,73,418,538,280,50,169,1002,188,8969.45,51619,-3.02330257,36.74868325,14.0
    04006 Albox,04006,6919,2406,220,569,21.96849255672785,2761,5262,809,186,442,1653,1223,12336,1978,7889,2469,6327,1027,4123,1177,6009,951,3766,1292,Andalucía,Almería,705,29,104,148,39,179,206,45,55,82,435,88,16827.6,61380,-2.146835459,37.38967753,422.0
    04011 Alhama de Almería,04011,2336,2322,83,251,20.89041095890411,1058,1630,374,51,85,154,392,3744,609,2440,695,1880,316,1258,306,1864,293,1182,389,Andalucía,Almería,281,12,37,72,12,67,81,26,29,23,172,31,2624.375,25588,-2.56977648,36.95718281,520.0
    04013 Almería,04013,100957,2490,2516,7963,9.870538942321978,60472,85406,13845,3922,5817,10236,20574,200273,34570,132281,33422,97926,17764,66117,14045,102347,16806,66164,19377,Andalucía,Almería,16632,679,2585,3624,746,3869,5129,932,461,1585,11245,2409,29572.44,127373,-2.46413188,36.83892362,16.0
    04016 Antas,04016,1958,2542,68,201,14.096016343207355,1017,1269,251,48,78,357,334,3354,523,2207,624,1739,273,1180,286,1615,250,1027,338,Andalucía,Almería,157,1,22,31,3,38,61,14,3,6,116,18,9973.47,42414,-1.91715315,37.24459175,108.0
    04017 Arboleas,04017,2775,3033,53,160,23.243243243243246,969,1294,248,34,106,1840,175,4666,316,2407,1943,2355,170,1174,1011,2311,146,1233,932,Andalucía,Almería,125,9,20,37,2,23,32,10,10,16,75,14,6614.36,46628,-2.0754646,37.35116011,270.0
    04024 Benahadux,04024,2125,2953,38,133,10.776470588235295,1581,1388,740,52,110,78,584,4534,979,2993,562,2248,486,1506,256,2286,493,1487,306,Andalucía,Almería,304,11,40,57,18,79,99,11,14,27,214,38,1661.5387,18999,-2.455766,36.925792,115.0
    04029 Berja,04029,6748,2421,204,675,11.069946650859514,4973,4516,678,175,167,810,1304,12623,2194,8544,1885,6455,1143,4492,820,6168,1051,4052,1065,Andalucía,Almería,867,36,138,226,30,209,228,165,27,116,470,89,18581.24,66447,-2.94948207,36.84732147,340.0
    04030 Canjáyar,04030,1124,1743,64,116,37.18861209964413,279,646,132,11,37,22,48,1175,92,700,383,620,47,407,166,555,45,293,217,Andalucía,Almería,92,6,14,35,3,17,18,11,1,19,56,4,6692.6563,57977,-2.73944378,37.01006973,602.0
    04031 Cantoria,04031,2499,2306,102,232,32.252901160464184,982,1409,226,33,81,474,227,3432,388,2020,1024,1744,199,1050,495,1688,189,970,529,Andalucía,Almería,190,5,29,40,8,40,68,12,16,23,117,22,7895.2,49635,-2.19324978,37.35219371,381.0
    04032 Carboneras,04032,6292,1815,404,1021,15.607120152574696,2702,3120,413,116,487,524,833,8195,1384,5511,1300,4211,742,2845,624,3984,642,2666,676,Andalucía,Almería,473,23,64,104,23,109,150,26,37,41,323,46,9546.4247,57089,-1.89349648,36.99742391,6.0
    04035 Cuevas del Almanzora,04035,10472,2129,452,1207,25.87853323147441,3242,6178,830,190,612,1726,1788,14567,2794,9382,2391,7577,1433,5007,1137,6990,1361,4375,1254,Andalucía,Almería,861,39,147,178,52,200,245,114,28,81,571,67,26375.62,76338,-1.880632167,37.29705933,90.0
