Modelo,Feature Selection,Número de Features,RMSE (CV),RMSE (TEST),R2 (TEST),MAE (TEST)
Ridge,seleccion_rfe_80,80,4.762,4.68,0.865,3.494
LinearRegression,seleccion_rfe_80,80,4.749,4.684,0.865,3.521
Ridge,all_feats,111,4.759,4.714,0.863,3.504
LinearRegression,seleccion_rfe_65,65,4.733,4.725,0.863,3.559
Ridge,seleccion_rfe_65,65,4.754,4.732,0.862,3.55
LinearRegression,seleccion_modelo,56,4.768,4.736,0.862,3.59
Ridge,seleccion_modelo,56,4.792,4.751,0.861,3.589
LinearRegression,seleccion_rfe_50,50,4.791,4.818,0.857,3.652
Ridge,seleccion_rfe_50,50,4.817,4.837,0.856,3.655
LinearRegression,seleccion_rfe_35,35,4.856,4.84,0.856,3.683
Ridge,seleccion_rfe_35,35,4.865,4.845,0.856,3.688
LinearRegression,num_feats,40,5.111,5.153,0.837,3.946
LinearRegression,seleccion_sfs_15,15,5.008,5.16,0.836,3.895
Ridge,seleccion_sfs_15,15,5.019,5.165,0.836,3.893
LinearRegression,seleccion_sfs_12,12,5.013,5.169,0.836,3.906
Ridge,seleccion_sfs_12,12,5.024,5.174,0.835,3.904
CatBoost,seleccion_rfecv,12,5.33,5.178,0.835,3.821
Ridge,num_feats,40,5.141,5.186,0.835,3.937
CatBoost,seleccion_sfs_12,12,5.247,5.236,0.831,3.809
CatBoost,seleccion_rfe_80,80,5.403,5.252,0.83,3.841
CatBoost,seleccion_sfs_15,15,5.225,5.26,0.83,3.82
CatBoost,seleccion_modelo,56,5.404,5.262,0.83,3.878
CatBoost,num_feats,40,5.453,5.277,0.829,3.871
CatBoost,seleccion_rfe_35,35,5.393,5.293,0.828,3.914
CatBoost,seleccion_rfe_50,50,5.402,5.296,0.827,3.873
CatBoost,seleccion_rfe_65,65,5.412,5.301,0.827,3.888
Ridge,seleccion_rfe_20,20,5.238,5.304,0.827,4.018
LinearRegression,seleccion_rfe_20,20,5.231,5.309,0.827,4.034
CatBoost,all_feats,111,,5.349,0.824,3.874
CatBoost,seleccion_rfe_20,20,5.31,5.367,0.823,3.978
Ridge,seleccion_rfecv,12,5.495,5.379,0.822,4.14
LinearRegression,seleccion_rfecv,12,5.49,5.379,0.822,4.15
LightGBM,seleccion_rfecv,12,5.462,5.508,0.813,4.056
LightGBM,num_feats,40,5.578,5.535,0.812,4.065
LightGBM,seleccion_sfs_15,15,5.356,5.564,0.81,4.028
XGBoost,num_feats,40,5.983,5.569,0.809,4.101
LightGBM,seleccion_rfe_20,20,5.403,5.57,0.809,4.073
LightGBM,seleccion_rfe_80,80,5.532,5.594,0.808,4.111
LightGBM,seleccion_rfe_65,65,5.471,5.595,0.807,4.137
XGBoost,seleccion_rfecv,12,5.846,5.598,0.807,4.083
LightGBM,seleccion_sfs_12,12,5.315,5.612,0.806,4.041
LightGBM,all_feats,111,5.505,5.618,0.806,4.176
LightGBM,seleccion_rfe_50,50,5.549,5.631,0.805,4.158
LightGBM,seleccion_rfe_35,35,5.489,5.631,0.805,4.183
XGBoost,seleccion_modelo,56,5.877,5.639,0.804,4.174
LightGBM,seleccion_modelo,56,5.516,5.643,0.804,4.183
XGBoost,all_feats,111,5.855,5.731,0.798,4.177
XGBoost,seleccion_sfs_12,12,5.67,5.732,0.798,4.144
XGBoost,seleccion_sfs_15,15,5.769,5.733,0.798,4.149
XGBoost,seleccion_rfe_20,20,5.766,5.746,0.797,4.177
XGBoost,seleccion_rfe_65,65,5.846,5.786,0.794,4.199
XGBoost,seleccion_rfe_80,80,5.827,5.821,0.792,4.237
CatBoost,seleccion_anticol_y_catfeats,85,6.059,5.846,0.79,4.157
XGBoost,seleccion_rfe_50,50,5.83,5.909,0.785,4.338
XGBoost,seleccion_rfe_35,35,5.96,5.963,0.781,4.328
CatBoost,seleccion_anticolinealidad,14,6.277,5.992,0.779,4.31
RandomForest,seleccion_rfecv,12,6.083,6.024,0.777,4.443
RandomForest,seleccion_sfs_15,15,5.936,6.057,0.774,4.465
RandomForest,seleccion_sfs_12,12,5.957,6.088,0.772,4.497
RandomForest,seleccion_rfe_20,20,6.07,6.127,0.769,4.54
RandomForest,all_feats,111,6.153,6.137,0.768,4.526
RandomForest,seleccion_rfe_50,50,6.178,6.139,0.768,4.547
RandomForest,seleccion_rfe_80,80,6.165,6.145,0.768,4.548
RandomForest,seleccion_rfe_65,65,6.171,6.145,0.768,4.545
RandomForest,seleccion_modelo,56,6.167,6.146,0.768,4.544
XGBoost,seleccion_anticol_y_catfeats,85,6.573,6.155,0.767,4.413
LightGBM,seleccion_anticolinealidad,14,6.541,6.192,0.764,4.486
RandomForest,seleccion_rfe_35,35,6.179,6.192,0.764,4.59
LightGBM,seleccion_anticol_y_catfeats,85,6.378,6.205,0.763,4.488
RandomForest,num_feats,40,6.343,6.248,0.76,4.632
