COD_INE;ID_REL;codigo_ine;PROVINCIA;ubicacion;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD
1001000000;1010014;1010;Araba/Álava;Alegría-Dulantzi;1994,5872;35069;-2,51243731;42,83981158;568
1002000000;1010029;1020;Araba/Álava;Amurrio;9629,68;65381;-3,00007326;43,05427776;219
1003000000;1010035;1030;Araba/Álava;Aramaio;7308,96;42097;-2,56540037;43,05119653;333
1004000000;1010040;1040;Araba/Álava;Artziniega;2728,73;22886;-3,12791718;43,12084358;210
1006000000;1010066;1060;Araba/Álava;Armiñón;1297,27;24707;-2,87183475;42,72326199;467
1008000000;1010088;1080;Araba/Álava;Arratzua-Ubarrundia;5753,18;67180;-2,63878816;42,89116171;528
1009000000;1010091;1090;Araba/Álava;Asparrena;6510,76;53754;-2,31670754;42,88968768;602
1010000000;1010105;1100;Araba/Álava;Ayala/Aiara;14096,94;64211;-3,04306746;43,07768283;306
1011000000;1010112;1110;Araba/Álava;Baños de Ebro/Mañueta;950,39;18666;-2,67863583;42,52925602;421
1013000000;1010133;1130;Araba/Álava;Barrundia;9729,68;57551;-2,49407452;42,91537538;575
1014000000;1010148;1140;Araba/Álava;Berantevilla;3574,75;38696;-2,85971414;42,68227191;471
1016000000;1010164;1160;Araba/Álava;Bernedo;13048,2;85964;-2,49825439;42,62676989;710
1017000000;1010170;1170;Araba/Álava;Campezo/Kanpezu;8536,0875;53461;-2,35207693;42,66971209;578
1018000000;1010186;1180;Araba/Álava;Zigoitia;10209,12;48687;-2,73033002;42,96210609;585
1019000000;1010199;1190;Araba/Álava;Kripan;1251,599;15980;-2,51621636;42,59082439;691
1020000000;1010203;1200;Araba/Álava;Kuartango;8431,96;44380;-2,88438243;42,87006411;594
1021000000;1010210;1210;Araba/Álava;Elburgo/Burgelu;3210,04;58545;-2,545933;42,850282;540
1022000000;1010225;1220;Araba/Álava;Elciego;1625,58;21854;-2,61723872;42,51420738;451
1023000000;1010231;1230;Araba/Álava;Elvillar/Bilar;1750,2228;21190;-2,54441267;42,56842577;581
1027000000;1010278;1250;Araba/Álava;Iruraiz-Gauna;4712,8628;81139;-2,475996232;42,83131017;627
1028000000;1010284;1260;Araba/Álava;Labastida/Bastida;3810,73;35903;-2,793199;42,590217;555
1030000000;1010301;1280;Araba/Álava;Lagrán;4562,02;34064;-2,58423377;42,62621464;751
1031000000;1010318;1290;Araba/Álava;Laguardia;8093,55;84606;-2,58411693;42,55236655;630
1032000000;1010323;1300;Araba/Álava;Lanciego/Lantziego;2425,3;26407;-2,51278162;42,5624416;542
1033000000;1010339;1310;Araba/Álava;Lapuebla de Labarca;605;12528;-2,57209001;42,49441468;431
1034000000;1010344;1320;Araba/Álava;Leza;992,2543;14579;-2,63459428;42,56469687;569
1036000000;1010360;1340;Araba/Álava;Laudio/Llodio;3773,43;27543;-2,96256495;43,1425188;123
1037000000;1010376;1350;Araba/Álava;Arraia-Maeztu;12310,7942;59163;-2,444299;42,738527;649
1039000000;1010395;1360;Araba/Álava;Moreda de Álava/Moreda Araba;867,1106;12022;-2,40841718;42,52479167;461
1041000000;1010416;1380;Araba/Álava;Navaridas;891,6398;11775;-2,62479544;42,5450594;535
1042000000;1010421;1390;Araba/Álava;Okondo;2985,26;34670;-3,019026823;43,1615513;135
1043000000;1010437;1400;Araba/Álava;Oyón-Oion;4517,7474;42025;-2,436788;42,506067;435
