Comunidad Autónoma;Provincia;codigo_ine;ubicacion;total Paro Registrado;Paro hombre edad < 25;Paro hombre edad 25 -45 ;Paro hombre edad >=45;Paro mujer edad < 25;Paro mujer edad 25 -45 ;Paro mujer edad >=45;Paro Agricultura;Paro Industria;Paro Construcción;Paro Servicios;Paro Sin empleo Anterior
Andalucía;Almería;4001;Abla;73;<5;7;29;0;14;21;13;<5;7;43;6
Andalucía;Almería;4002;Abrucena;50;<5;5;17;<5;15;10;6;<5;5;32;5
Andalucía;Almería;4003;Adra;1689;85;234;341;73;418;538;280;50;169;1002;188
Andalucía;Almería;4004;Albánchez;27;<5;<5;10;<5;<5;8;<5;<5;<5;20;<5
Andalucía;Almería;4005;Alboloduy;24;<5;<5;11;0;5;5;<5;5;5;12;0
Andalucía;Almería;4006;Albox;705;29;104;148;39;179;206;45;55;82;435;88
Andalucía;Almería;4007;Alcolea;63;<5;8;20;<5;17;14;11;<5;7;40;<5
Andalucía;Almería;4008;Alcóntar;21;<5;0;10;<5;5;<5;<5;<5;0;15;<5
Andalucía;Almería;4009;Alcudia de Monteagud;8;0;<5;<5;0;<5;<5;0;<5;0;6;<5
Andalucía;Almería;4010;Alhabia;63;<5;10;21;5;15;9;5;<5;19;29;8
Andalucía;Almería;4011;Alhama de Almería;281;12;37;72;12;67;81;26;29;23;172;31
Andalucía;Almería;4012;Alicún;12;<5;0;<5;0;<5;6;0;0;<5;9;<5
Andalucía;Almería;4013;Almería;16632;679;2585;3624;746;3869;5129;932;461;1585;11245;2409
Andalucía;Almería;4014;Almócita;16;0;0;6;<5;<5;8;<5;0;<5;10;<5
Andalucía;Almería;4015;Alsodux;7;0;<5;<5;0;0;<5;0;<5;<5;<5;<5
Andalucía;Almería;4016;Antas;157;<5;22;31;<5;38;61;14;<5;6;116;18
Andalucía;Almería;4017;Arboleas;125;9;20;37;<5;23;32;10;10;16;75;14
Andalucía;Almería;4018;Armuña de Almanzora;24;<5;8;5;0;<5;7;<5;<5;0;18;<5
Andalucía;Almería;4019;Bacares;7;0;<5;<5;<5;0;<5;<5;<5;0;<5;<5
Andalucía;Almería;4020;Bayárcal;18;<5;<5;8;0;<5;6;<5;0;<5;14;0
Andalucía;Almería;4021;Bayarque;13;<5;<5;<5;0;<5;6;0;<5;<5;10;<5
Andalucía;Almería;4022;Bédar;37;0;<5;13;<5;<5;15;0;<5;<5;31;<5
Andalucía;Almería;4023;Beires;10;<5;0;6;0;<5;<5;0;0;<5;9;0
Andalucía;Almería;4024;Benahadux;304;11;40;57;18;79;99;11;14;27;214;38
Andalucía;Almería;4026;Benitagla;<5;0;<5;<5;0;0;0;<5;0;0;<5;0
Andalucía;Almería;4027;Benizalón;20;<5;<5;8;<5;<5;5;<5;0;<5;18;0
Andalucía;Almería;4028;Bentarique;13;0;<5;6;<5;<5;<5;<5;0;<5;10;<5
Andalucía;Almería;4029;Berja;867;36;138;226;30;209;228;165;27;116;470;89
Andalucía;Almería;4030;Canjáyar;92;6;14;35;<5;17;18;11;<5;19;56;<5
Andalucía;Almería;4031;Cantoria;190;5;29;40;8;40;68;12;16;23;117;22
Andalucía;Almería;4032;Carboneras;473;23;64;104;23;109;150;26;37;41;323;46
Andalucía;Almería;4033;Castro de Filabres;5;0;<5;0;0;<5;<5;0;0;0;5;0
Andalucía;Almería;4034;Cóbdar;12;0;<5;6;0;<5;<5;<5;<5;<5;6;0
Andalucía;Almería;4035;Cuevas del Almanzora;861;39;147;178;52;200;245;114;28;81;571;67
Andalucía;Almería;4036;Chercos;13;<5;<5;<5;<5;<5;<5;<5;<5;<5;7;<5
Andalucía;Almería;4037;Chirivel;70;17;8;20;<5;11;12;6;<5;<5;37;21
Andalucía;Almería;4038;Dalías;201;<5;24;54;7;47;65;38;6;24;117;16
Andalucía;Almería;4041;Enix;19;0;<5;7;0;<5;5;<5;<5;<5;13;<5
Andalucía;Almería;4043;Felix;32;<5;<5;19;<5;<5;6;6;0;7;18;<5
Andalucía;Almería;4044;Fines;179;8;25;39;<5;39;67;9;35;9;110;16
Andalucía;Almería;4045;Fiñana;120;6;12;47;6;24;25;22;10;11;65;12
Andalucía;Almería;4046;Fondón;54;<5;<5;21;<5;6;19;<5;5;6;37;<5
Andalucía;Almería;4047;Gádor;324;16;53;68;13;91;83;31;21;32;188;52
Andalucía;Almería;4048;Gallardos, Los;110;<5;9;20;6;30;42;12;8;8;71;11
Andalucía;Almería;4049;Garrucha;608;24;85;121;14;134;230;14;21;43;485;45
Andalucía;Almería;4050;Gérgal;63;5;5;21;5;13;14;15;<5;<5;31;12
