iter	Passed	Remaining
0	152	152659
1	155	77550
2	157	52215
3	158	39539
4	160	31943
5	162	26911
6	164	23293
7	165	20582
8	167	18466
9	169	16804
10	171	15435
11	173	14291
12	175	13354
13	177	12523
14	179	11805
15	181	11170
16	183	10599
17	185	10119
18	187	9689
19	189	9294
20	191	8931
21	193	8613
22	195	8321
23	197	8047
24	199	7784
25	201	7559
26	203	7350
27	205	7139
28	207	6944
29	209	6761
30	210	6589
31	212	6427
32	214	6273
33	215	6130
34	218	6011
35	219	5886
36	221	5767
37	223	5653
38	225	5544
39	226	5440
40	228	5343
41	230	5249
42	231	5162
43	234	5084
44	235	5002
45	237	4925
46	239	4851
47	241	4781
48	242	4712
49	244	4648
50	246	4585
51	248	4528
52	250	4476
53	252	4419
54	254	4364
55	255	4310
56	257	4261
57	259	4211
58	261	4163
59	263	4122
60	265	4085
61	267	4051
62	269	4010
63	271	3968
64	273	3927
65	274	3887
66	276	3854
67	278	3818
68	280	3785
69	282	3754
70	284	3721
71	286	3689
72	288	3658
73	290	3630
74	292	3601
75	293	3571
76	295	3542
77	297	3517
78	300	3499
79	302	3477
80	304	3453
81	306	3428
82	307	3402
83	309	3377
84	311	3353
85	313	3332
86	315	3308
87	316	3284
88	318	3262
89	320	3238
90	322	3217
91	323	3195
92	325	3175
93	327	3155
94	329	3139
95	331	3120
96	333	3101
97	334	3081
98	336	3063
99	338	3044
100	340	3027
101	341	3010
102	345	3004
103	347	2995
104	349	2983
105	352	2970
106	354	2956
107	356	2943
108	358	2932
109	361	2923
110	363	2913
111	366	2903
112	368	2892
113	370	2880
114	373	2871
115	375	2859
116	377	2850
117	379	2838
118	381	2827
119	383	2814
120	385	2800
121	387	2788
122	389	2775
123	391	2763
124	393	2751
125	395	2740
126	396	2728
127	398	2717
128	400	2705
129	402	2693
130	404	2681
131	405	2668
132	408	2659
133	410	2651
134	412	2640
135	413	2629
136	415	2618
137	417	2607
138	419	2596
139	420	2585
140	422	2574
141	424	2566
142	426	2556
143	428	2546
144	430	2535
145	431	2525
146	433	2515
147	435	2505
148	437	2495
149	438	2486
150	440	2478
151	442	2470
152	445	2464
153	447	2455
154	448	2446
155	450	2437
156	452	2428
157	454	2419
158	456	2413
159	458	2404
160	459	2396
161	461	2387
162	463	2378
163	465	2371
164	466	2362
165	468	2354
166	470	2346
167	472	2340
168	474	2333
169	476	2327
170	478	2321
171	480	2313
172	482	2306
173	484	2298
174	485	2290
175	488	2284
176	489	2277
177	491	2270
178	493	2263
179	495	2257
180	497	2251
181	499	2243
182	500	2236
183	502	2230
184	505	2226
185	507	2219
186	509	2213
187	510	2206
188	512	2199
189	514	2191
190	515	2185
191	517	2178
192	519	2172
193	521	2167
194	523	2161
195	525	2154
196	526	2147
197	528	2141
198	530	2135
199	532	2128
200	533	2122
201	536	2118
202	537	2112
203	539	2105
204	541	2099
205	543	2093
206	544	2087
207	546	2081
208	548	2075
209	550	2069
210	552	2064
211	554	2059
212	555	2054
213	557	2047
214	559	2041
215	560	2036
216	562	2030
217	564	2025
218	566	2020
219	568	2017
220	570	2011
221	572	2006
222	574	2000
223	575	1995
224	577	1989
225	579	1984
226	581	1979
227	583	1976
228	585	1971
229	587	1967
230	590	1964
231	592	1960
232	594	1955
233	595	1950
234	597	1945
235	599	1941
236	601	1937
237	603	1931
238	605	1926
239	606	1921
240	608	1916
241	610	1912
242	612	1907
243	613	1902
244	615	1898
245	617	1893
246	619	1887
247	621	1883
248	622	1878
249	624	1873
250	626	1868
251	628	1864
252	629	1859
253	632	1856
254	633	1852
255	635	1847
256	637	1842
257	639	1838
258	641	1833
259	642	1829
260	644	1824
261	646	1820
262	648	1817
263	650	1812
264	652	1808
265	653	1804
266	655	1799
267	657	1795
268	659	1790
269	660	1786
270	662	1783
271	664	1779
272	666	1775
273	668	1770
274	670	1766
275	671	1762
276	673	1757
277	675	1753
278	676	1749
279	679	1746
280	681	1742
281	683	1739
282	684	1735
283	686	1730
284	688	1726
285	690	1722
286	691	1718
287	693	1714
288	695	1712
289	698	1710
290	701	1708
291	703	1706
292	705	1702
293	707	1698
294	709	1694
295	711	1691
296	713	1688
297	715	1685
298	717	1681
299	719	1677
300	720	1673
301	722	1669
302	724	1666
303	726	1663
304	728	1659
305	730	1656
306	732	1652
307	733	1649
308	735	1645
309	737	1641
310	739	1637
311	740	1633
312	743	1631
313	745	1627
314	747	1624
315	748	1620
316	750	1617
317	752	1613
318	754	1610
319	755	1606
320	757	1602
321	759	1599
322	761	1595
323	763	1592
324	765	1589
325	766	1585
326	768	1581
327	770	1578
328	772	1574
329	774	1571
330	776	1569
331	778	1565
332	780	1562
333	781	1558
334	783	1555
335	785	1551
336	786	1548
337	788	1544
338	790	1542
339	793	1539
340	794	1536
341	797	1533
342	799	1530
343	800	1527
344	802	1523
345	804	1520
346	807	1518
347	808	1515
348	810	1512
349	812	1508
350	814	1505
351	815	1502
352	817	1498
353	819	1495
354	821	1492
355	823	1489
356	825	1486
357	826	1482
358	828	1479
359	830	1476
360	832	1472
361	833	1469
362	835	1466
363	838	1464
364	840	1462
365	842	1459
366	844	1456
367	846	1453
368	847	1449
369	849	1446
370	851	1443
371	853	1440
372	855	1437
373	857	1434
374	858	1431
375	860	1428
376	862	1424
377	863	1421
378	865	1418
379	867	1415
380	869	1412
381	871	1410
382	873	1407
383	875	1403
384	876	1400
385	878	1397
386	880	1394
387	882	1391
388	883	1388
389	886	1386
390	888	1383
391	889	1380
392	891	1377
393	893	1374
394	895	1372
395	898	1370
396	900	1367
397	902	1365
398	904	1362
399	906	1359
400	907	1356
401	909	1353
402	911	1350
403	913	1347
404	915	1344
405	917	1341
406	919	1339
407	921	1336
408	922	1333
409	924	1330
410	926	1327
411	928	1324
412	929	1321
413	931	1318
414	933	1315
415	935	1313
416	937	1311
417	939	1308
418	941	1306
419	944	1303
420	946	1301
421	948	1298
422	950	1296
423	952	1294
424	954	1291
425	956	1288
426	958	1285
427	960	1283
428	961	1280
429	963	1277
430	966	1275
431	968	1273
432	970	1270
433	972	1267
434	973	1264
435	975	1262
436	977	1259
437	979	1256
438	981	1253
439	983	1251
440	984	1248
441	986	1245
442	988	1242
443	990	1239
444	991	1237
445	993	1234
446	995	1231
447	997	1229
448	999	1226
449	1001	1223
450	1002	1220
451	1005	1218
452	1006	1215
453	1008	1213
454	1010	1210
455	1012	1207
456	1014	1205
457	1016	1202
458	1018	1199
459	1019	1197
460	1021	1194
461	1023	1191
462	1025	1189
463	1026	1186
464	1029	1184
465	1031	1181
466	1032	1178
467	1034	1175
468	1036	1173
469	1038	1170
470	1039	1167
471	1041	1165
472	1043	1162
473	1045	1160
474	1047	1157
475	1049	1155
476	1051	1152
477	1052	1149
478	1054	1146
479	1056	1144
480	1057	1141
481	1059	1139
482	1077	1153
483	1079	1150
484	1081	1148
485	1083	1145
486	1084	1142
487	1086	1140
488	1088	1137
489	1090	1135
490	1092	1132
491	1094	1130
492	1096	1127
493	1098	1125
494	1101	1123
495	1102	1120
496	1104	1117
497	1106	1115
498	1107	1112
499	1110	1110
500	1112	1107
501	1113	1104
502	1115	1102
503	1117	1099
504	1119	1096
505	1120	1094
506	1122	1091
507	1124	1088
508	1126	1086
509	1128	1084
510	1130	1081
511	1131	1078
512	1133	1076
513	1135	1073
514	1136	1070
515	1138	1068
516	1140	1065
517	1142	1063
518	1144	1060
519	1146	1058
520	1148	1055
521	1149	1053
522	1151	1050
523	1153	1047
524	1155	1045
525	1157	1042
526	1159	1040
527	1160	1037
528	1162	1035
529	1164	1032
530	1166	1029
531	1167	1027
532	1169	1024
533	1171	1022
534	1173	1019
535	1175	1017
536	1177	1014
537	1178	1012
538	1180	1009
539	1182	1007
540	1184	1004
541	1185	1002
542	1187	999
543	1189	997
544	1192	995
545	1194	993
546	1196	990
547	1198	988
548	1199	985
549	1201	983
550	1203	980
551	1205	978
552	1207	976
553	1209	973
554	1211	971
555	1213	968
556	1214	966
557	1216	963
558	1218	960
559	1220	958
560	1222	956
561	1224	954
562	1226	951
563	1228	949
564	1229	946
565	1231	944
566	1233	941
567	1235	939
568	1237	937
569	1239	934
570	1240	932
571	1242	929
572	1244	927
573	1246	924
574	1247	922
575	1249	919
576	1251	917
577	1253	915
578	1255	912
579	1257	910
580	1258	907
581	1260	905
582	1262	903
583	1264	900
584	1266	898
585	1267	895
586	1270	893
587	1271	891
588	1273	888
589	1275	886
590	1277	883
591	1278	881
592	1280	878
593	1282	876
594	1284	874
595	1286	872
596	1288	869
597	1290	867
598	1291	864
599	1293	862
600	1295	860
601	1297	857
602	1299	855
603	1301	853
604	1303	850
605	1305	848
606	1307	846
607	1309	844
608	1311	841
609	1312	839
610	1314	836
611	1317	835
612	1319	832
613	1320	830
614	1322	827
615	1324	825
616	1325	822
617	1327	820
618	1329	818
619	1331	816
620	1333	814
621	1335	811
622	1337	809
623	1339	806
624	1340	804
625	1342	802
626	1344	800
627	1347	798
628	1350	796
629	1352	794
630	1355	792
631	1357	790
632	1359	788
633	1362	786
634	1365	784
635	1367	782
636	1370	780
637	1372	778
638	1374	776
639	1376	774
640	1378	772
641	1381	770
642	1383	768
643	1385	765
644	1387	763
645	1389	761
646	1391	758
647	1392	756
648	1394	754
649	1397	752
650	1399	750
651	1400	747
652	1402	745
653	1404	743
654	1406	740
655	1408	738
656	1410	736
657	1412	734
658	1414	732
659	1416	729
660	1418	727
661	1419	724
662	1421	722
663	1423	720
664	1425	717
665	1426	715
666	1429	713
667	1431	711
668	1432	708
669	1434	706
670	1436	704
671	1438	702
672	1439	699
673	1441	697
674	1444	695
675	1446	693
676	1447	690
677	1449	688
678	1451	686
679	1452	683
680	1454	681
681	1456	679
682	1458	676
683	1460	674
684	1462	672
685	1463	670
686	1465	667
687	1467	665
688	1468	663
689	1470	660
690	1472	658
691	1474	656
692	1476	654
693	1478	652
694	1480	649
695	1482	647
696	1484	645
697	1486	643
