iter	RMSE
0	11.2617941
1	10.72317866
2	10.25511788
3	9.831356808
4	9.456935759
5	9.111613542
6	8.811219797
7	8.571336647
8	8.335308126
9	8.165195484
10	7.990090932
11	7.828699445
12	7.656448164
13	7.522429389
14	7.40687319
15	7.303981208
16	7.211887546
17	7.104434035
18	7.023492849
19	6.951010176
20	6.878465167
21	6.828008552
22	6.765159933
23	6.697833932
24	6.659164827
25	6.611762795
26	6.566009718
27	6.518068547
28	6.471961885
29	6.428023836
30	6.388657019
31	6.347437315
32	6.323517409
33	6.288454511
34	6.261034153
35	6.226816589
36	6.195275876
37	6.159198702
38	6.139671874
39	6.11356792
40	6.098309701
41	6.070169376
42	6.045297809
43	6.027368038
44	6.007407279
45	5.985760181
46	5.953774043
47	5.931903597
48	5.916547926
49	5.890537879
50	5.870775253
51	5.840283563
52	5.820871353
53	5.784708849
54	5.764459717
55	5.752091814
56	5.728030365
57	5.713868698
58	5.692030714
59	5.670979326
60	5.65042041
61	5.632685108
62	5.606312745
63	5.587739918
64	5.564788015
65	5.5522695
66	5.53010781
67	5.51823023
68	5.505077605
69	5.487782552
70	5.473722783
71	5.457346798
72	5.442034031
73	5.423269715
74	5.409934368
75	5.394085727
76	5.372796889
77	5.350007765
78	5.339638285
79	5.325446496
80	5.310522269
81	5.287452457
82	5.276073416
83	5.260111178
84	5.24340532
85	5.227577652
86	5.212621745
87	5.196123435
88	5.181828298
89	5.168797513
90	5.144498856
91	5.131592709
92	5.121568313
93	5.112020065
94	5.091734867
95	5.07394269
96	5.057874373
97	5.045943722
98	5.026191691
99	5.017949306
100	4.995808971
101	4.988260449
102	4.958381998
103	4.936078259
104	4.927501886
105	4.915734399
106	4.897730991
107	4.881649858
108	4.869183548
109	4.856083341
110	4.838609642
111	4.823430742
112	4.797263695
113	4.781141545
114	4.76647499
115	4.746835659
116	4.731968586
117	4.723913519
118	4.708794188
119	4.69854057
120	4.686014473
121	4.666678238
122	4.657471086
123	4.641410782
124	4.633595431
125	4.619692667
126	4.601312254
127	4.587506038
128	4.580359151
129	4.568688785
130	4.552665319
131	4.547343576
132	4.530281843
133	4.510403542
134	4.496208109
135	4.476817769
136	4.463390117
137	4.448358139
138	4.440800855
139	4.429384653
140	4.422003935
141	4.410067463
142	4.404159356
143	4.390615137
144	4.381009574
145	4.365936474
146	4.354831095
147	4.341756598
148	4.331035698
149	4.306726769
150	4.29990778
151	4.286996992
152	4.280389348
153	4.273264132
154	4.264889878
155	4.253484692
156	4.239432651
157	4.228921328
158	4.217525476
159	4.204391324
160	4.192956955
161	4.182237855
162	4.171275466
163	4.160966172
164	4.149544033
165	4.135089583
166	4.12231546
167	4.112821435
168	4.101018749
169	4.094264886
170	4.085531928
171	4.081854959
172	4.075887732
173	4.066276536
174	4.057652042
175	4.047712244
176	4.03812083
177	4.024096616
178	4.016388329
179	4.007645038
180	3.999177549
181	3.986074997
182	3.976650297
183	3.967641715
184	3.960622264
185	3.952359341
186	3.939748628
187	3.934987198
188	3.926462528
189	3.918529917
190	3.911676902
191	3.90683287
192	3.900472246
193	3.892011202
194	3.883790338
195	3.876589271
196	3.870085881
197	3.859907675
198	3.852604655
199	3.845460527
200	3.836219337
201	3.82768209
202	3.822054838
203	3.814767066
204	3.805330486
205	3.799777312
206	3.792620134
207	3.787387473
208	3.780269411
209	3.774830847
210	3.770198321
211	3.759705148
212	3.748232969
213	3.745602759
214	3.73560349
215	3.728444637
216	3.720348848
217	3.712128732
218	3.708644445
219	3.702500453
220	3.696967642
221	3.691414456
222	3.68418119
223	3.681333533
224	3.673238162
225	3.666727454
226	3.662307378
227	3.655384825
228	3.650854868
229	3.643506512
230	3.634122754
231	3.627034816
232	3.618941799
233	3.612384766
234	3.605711246
235	3.598852046
236	3.589718226
237	3.581485848
238	3.578136753
239	3.57265835
240	3.566469279
241	3.558035746
242	3.550723049
243	3.543648807
244	3.535059145
245	3.530258945
246	3.526566345
247	3.518337448
248	3.512646059
249	3.504918734
250	3.498629645
251	3.493315868
252	3.487923397
253	3.483066226
254	3.478439623
255	3.468292315
256	3.463847412
257	3.458468366
258	3.452212195
259	3.447240155
260	3.441562457
261	3.435664421
262	3.426104397
263	3.422213806
264	3.411702145
265	3.401384771
266	3.397285819
267	3.39392437
268	3.385593174
269	3.378846331
270	3.372265719
271	3.363883547
272	3.360000925
273	3.352842343
274	3.348487961
275	3.344397962
276	3.34143444
277	3.336615827
278	3.329759315
279	3.325692065
280	3.318770496
281	3.310637522
282	3.305208952
283	3.299790874
284	3.292908816
285	3.284402094
286	3.275677308
287	3.267425882
288	3.263384092
289	3.256684797
290	3.251157269
291	3.245656525
292	3.239801545
293	3.234126709
294	3.22829584
295	3.217954478
296	3.21073552
297	3.204169745
298	3.197449192
299	3.192181128
300	3.189887416
301	3.182967992
302	3.178102984
303	3.171105287
304	3.166496723
305	3.157004349
306	3.154682194
307	3.149028137
308	3.141627959
309	3.138142515
310	3.132411202
311	3.127802969
312	3.122190701
313	3.118314292
314	3.112282225
315	3.111130249
316	3.109475102
317	3.106730199
318	3.101176197
319	3.093977147
320	3.089383952
321	3.085481975
322	3.07518456
323	3.070356407
324	3.064715081
325	3.061259268
326	3.0572844
327	3.05081617
328	3.045463986
329	3.042111807
330	3.037917902
331	3.03196892
332	3.028759168
333	3.02523331
334	3.02000728
335	3.015849036
336	3.009445411
337	3.008026807
338	3.00495672
339	3.003844348
340	2.997055587
341	2.991592669
342	2.989139396
343	2.983441918
344	2.978684159
345	2.975284372
346	2.970280322
347	2.96677718
348	2.962595011
349	2.957984065
350	2.95373173
351	2.948767417
352	2.943993956
353	2.940849434
354	2.939842238
355	2.936337976
356	2.927932116
357	2.925481895
358	2.922747023
359	2.918613153
360	2.913428575
361	2.909536816
362	2.907081632
363	2.902547407
364	2.897427904
365	2.892576911
366	2.888347128
367	2.883864891
368	2.879230853
369	2.874416433
370	2.871673989
371	2.867102718
372	2.864603944
373	2.862028229
374	2.856389258
375	2.851781724
376	2.847321998
377	2.843063796
378	2.839412324
379	2.83506108
380	2.831000262
381	2.825393025
382	2.820896219
383	2.817406984
384	2.81224281
385	2.807316538
386	2.802756844
387	2.799522031
388	2.794529415
389	2.79110498
390	2.787824761
391	2.782852171
392	2.77937745
393	2.776558782
394	2.77143026
395	2.769078233
396	2.765978303
397	2.762151044
398	2.759547632
399	2.75570452
400	2.752271825
401	2.747451134
402	2.742741929
403	2.738341266
404	2.733849404
405	2.730059105
406	2.726728337
407	2.722773692
408	2.717135565
409	2.713492471
410	2.710594631
411	2.707991174
412	2.706537256
413	2.702942786
414	2.700275875
415	2.69540471
416	2.688151968
417	2.687232986
418	2.684268048
419	2.680710201
420	2.677813124
421	2.675553108
422	2.673736447
423	2.671268646
424	2.669660959
425	2.667423695
426	2.663834639
427	2.661766736
428	2.658348857
429	2.653804427
430	2.64854047
431	2.646547389
432	2.642705258
433	2.637951254
434	2.632330183
435	2.627162947
436	2.622681567
437	2.617317154
438	2.61550151
439	2.610935881
440	2.606315308
441	2.604016968
442	2.600185052
443	2.596717842
444	2.593523507
445	2.59089784
446	2.588337444
447	2.583438831
448	2.580651167
449	2.575930302
450	2.573323081
451	2.566937216
452	2.564334882
453	2.559265765
454	2.556667138
455	2.552371692
456	2.547371888
457	2.545391289
458	2.540983187
459	2.537024894
460	2.533656451
461	2.532007164
462	2.529150762
463	2.527440503
464	2.524648294
465	2.521165503
466	2.51761814
467	2.514598439
468	2.509583473
469	2.505504522
470	2.501649476
471	2.498345855
472	2.495270835
473	2.491657735
474	2.488578997
475	2.484756017
476	2.481378596
477	2.47883533
478	2.476754913
479	2.474478965
480	2.470961537
481	2.468127518
482	2.466104833
483	2.462895688
484	2.461013513
485	2.457487876
486	2.455096557
487	2.45173274
488	2.449433445
489	2.445639516
490	2.441700317
491	2.437887143
492	2.434709568
493	2.431459185
494	2.4269583
495	2.425549381
496	2.424643508
497	2.419099317
498	2.415875701
499	2.414046578
500	2.411026787
501	2.407686943
502	2.403078696
503	2.401683953
504	2.400771626
505	2.396437419
506	2.393777846
507	2.391062671
508	2.389083663
509	2.387013037
510	2.384275711
511	2.382884666
512	2.378003459
513	2.377431308
514	2.374780447
515	2.371141161
516	2.367730221
517	2.364084865
518	2.359366248
519	2.355857828
520	2.353049208
521	2.350516615
522	2.347474543
523	2.345021788
524	2.341956278
525	2.338254609
526	2.334712105
527	2.333159201
528	2.3308041
529	2.325648724
530	2.324390593
531	2.320018169
532	2.318010153
533	2.314964352
534	2.310883713
535	2.308377526
536	2.305101528
537	2.302909631
538	2.301406376
539	2.299401479
540	2.296677498
541	2.291840755
542	2.289080091
543	2.284070413
544	2.280611485
545	2.278788645
546	2.275447084
547	2.272111429
548	2.269691141
549	2.268811244
550	2.267149944
551	2.266150442
552	2.263113785
553	2.261159373
554	2.257646642
555	2.256266295
556	2.252779106
557	2.249677627
558	2.249421594
559	2.246863593
560	2.245965881
561	2.242995174
562	2.239952051
563	2.237089723
564	2.23389115
565	2.229970646
566	2.229030598
567	2.225969544
568	2.224494474
569	2.22279987
570	2.219181448
571	2.216563811
572	2.214658946
573	2.212984554
574	2.209784858
575	2.206597806
576	2.202664041
577	2.200057874
578	2.197456388
579	2.195902615
580	2.193878736
581	2.191467171
582	2.186810637
583	2.183281346
584	2.178576038
585	2.176823585
586	2.174965342
587	2.172060366
588	2.170064055
589	2.166749318
590	2.164953826
591	2.163545282
592	2.161387944
593	2.158558376
594	2.155027975
