iter	Passed	Remaining
0	134	134673
1	137	68558
2	139	46335
3	142	35397
4	144	28798
5	146	24300
6	148	21092
7	150	18695
8	152	16796
9	154	15265
10	156	14057
11	158	13049
12	160	12165
13	161	11403
14	163	10741
15	165	10161
16	166	9653
17	168	9200
18	170	8794
19	172	8460
20	174	8133
21	176	7834
22	177	7560
23	179	7305
24	181	7070
25	183	6855
26	184	6655
27	186	6477
28	188	6312
29	190	6151
30	191	5999
31	193	5855
32	195	5722
33	196	5595
34	198	5474
35	200	5361
36	202	5258
37	204	5182
38	206	5091
39	208	5000
40	210	4914
41	211	4833
42	213	4754
43	215	4677
44	217	4607
45	219	4544
46	221	4482
47	222	4420
48	225	4370
49	227	4316
50	228	4257
51	230	4203
52	232	4148
53	234	4108
54	236	4068
55	238	4020
56	240	3974
57	241	3929
58	243	3886
59	245	3844
60	247	3803
61	248	3765
62	251	3735
63	252	3699
64	254	3665
65	256	3629
66	258	3595
67	259	3562
68	261	3531
69	263	3500
70	265	3475
71	267	3450
72	269	3421
73	271	3393
74	272	3365
75	274	3338
76	276	3311
77	277	3285
78	279	3259
79	281	3242
80	283	3220
81	286	3208
82	288	3187
83	290	3165
84	292	3145
85	293	3123
86	295	3102
87	297	3086
88	299	3067
89	301	3047
90	303	3027
91	304	3007
92	306	2988
93	308	2969
94	309	2950
95	311	2933
96	313	2922
97	315	2905
98	317	2889
99	319	2872
100	320	2856
101	322	2839
102	324	2823
103	325	2808
104	327	2792
105	329	2782
106	331	2769
107	333	2755
108	335	2743
109	337	2729
110	339	2715
111	340	2702
112	342	2688
113	344	2679
114	347	2671
115	348	2659
116	350	2646
117	352	2633
118	354	2621
119	355	2609
120	357	2597
121	359	2585
122	361	2579
123	363	2569
124	365	2557
125	367	2546
126	368	2535
127	370	2524
128	372	2513
129	374	2503
130	375	2493
131	378	2486
132	379	2475
133	381	2465
134	383	2455
135	384	2445
136	386	2435
137	388	2425
138	390	2416
139	392	2408
140	394	2400
141	396	2393
142	398	2386
143	400	2378
144	401	2369
145	403	2360
146	405	2351
147	407	2343
148	409	2338
149	411	2331
150	413	2323
151	415	2315
152	416	2307
153	418	2299
154	420	2291
155	422	2283
156	424	2277
157	426	2270
158	427	2262
159	429	2255
160	431	2247
161	433	2239
162	434	2232
163	436	2224
164	438	2217
165	440	2213
166	442	2207
167	444	2201
168	446	2193
169	447	2186
170	449	2179
171	451	2172
172	453	2165
173	454	2158
174	457	2155
175	458	2148
176	460	2141
177	462	2135
178	464	2128
179	465	2122
180	467	2115
181	469	2109
182	471	2104
183	473	2100
184	475	2093
185	477	2087
186	478	2081
187	480	2075
188	482	2068
189	483	2062
190	485	2056
191	487	2051
192	489	2047
193	491	2041
194	493	2035
195	494	2028
196	496	2022
197	497	2017
198	499	2011
199	501	2005
200	503	2000
201	505	1996
202	506	1990
203	508	1985
204	510	1979
205	512	1974
206	513	1968
207	515	1963
208	517	1958
209	519	1954
210	521	1951
211	523	1946
212	526	1944
213	528	1940
214	530	1938
215	532	1934
216	535	1930
217	537	1927
218	539	1923
219	541	1920
220	544	1917
221	546	1914
222	548	1911
223	550	1908
224	553	1906
225	555	1903
226	557	1899
227	560	1897
228	562	1893
229	564	1891
230	569	1897
231	571	1892
232	573	1889
233	575	1884
234	578	1882
235	580	1880
236	583	1878
237	585	1875
238	587	1871
239	589	1866
240	591	1863
241	593	1859
242	595	1854
243	597	1849
244	598	1845
245	600	1841
246	602	1836
247	604	1832
248	606	1828
249	608	1824
250	609	1819
251	611	1815
252	613	1810
253	615	1806
254	617	1803
255	619	1799
256	621	1796
257	623	1793
258	625	1788
259	626	1784
260	628	1779
261	630	1775
262	632	1772
263	634	1768
264	636	1765
265	638	1761
266	640	1757
267	641	1753
268	643	1749
269	645	1744
270	647	1741
271	649	1738
272	651	1735
273	653	1732
274	655	1728
275	657	1724
276	658	1719
277	660	1715
278	662	1712
279	664	1709
280	666	1705
281	668	1702
282	670	1699
283	672	1695
284	674	1691
285	675	1687
286	677	1683
287	679	1681
288	682	1678
289	684	1675
290	686	1672
291	688	1669
292	690	1665
293	691	1661
294	693	1658
295	695	1654
296	697	1651
297	700	1650
298	702	1646
299	704	1642
300	705	1638
301	707	1635
302	709	1631
303	711	1629
304	713	1625
305	715	1622
306	716	1618
307	718	1614
308	720	1611
309	722	1607
310	723	1603
311	725	1600
312	727	1597
313	729	1593
314	731	1590
315	733	1587
316	734	1583
317	736	1580
318	738	1576
319	740	1572
320	742	1570
321	744	1567
322	746	1564
323	748	1561
324	749	1557
325	751	1553
326	753	1550
327	755	1547
328	757	1544
329	759	1541
330	761	1538
331	762	1534
332	764	1531
333	766	1528
334	768	1524
335	769	1521
336	771	1517
337	773	1514
338	775	1511
339	777	1508
340	778	1505
341	780	1501
342	782	1498
343	783	1494
344	785	1491
345	787	1487
346	789	1484
347	791	1482
348	793	1479
349	794	1475
350	796	1472
351	798	1469
352	799	1466
353	801	1462
354	803	1459
355	804	1456
356	807	1453
357	808	1450
358	810	1447
359	812	1443
360	813	1440
361	815	1437
362	817	1434
363	818	1430
364	820	1427
365	823	1426
366	825	1423
367	827	1420
368	828	1417
369	830	1414
370	832	1411
371	834	1408
372	835	1404
373	837	1402
374	839	1399
375	841	1397
376	843	1394
377	845	1391
378	847	1388
379	849	1385
380	850	1382
381	852	1379
382	854	1376
383	856	1373
384	858	1370
385	859	1367
386	861	1364
387	863	1361
388	865	1358
389	866	1355
390	868	1352
391	870	1350
392	872	1348
393	874	1345
394	876	1342
395	878	1340
396	880	1337
397	882	1335
398	885	1333
399	887	1331
400	889	1329
401	891	1326
402	893	1324
403	896	1321
404	898	1319
405	899	1316
406	902	1315
407	904	1312
408	906	1309
409	908	1306
410	910	1304
411	911	1301
412	914	1300
413	920	1302
414	924	1303
415	929	1304
416	938	1311
417	941	1310
418	944	1309
419	947	1309
420	951	1309
421	955	1308
422	960	1309
423	964	1309
424	968	1310
425	971	1309
426	980	1315
427	984	1316
428	987	1314
429	990	1312
430	993	1311
431	996	1310
432	1001	1311
433	1006	1312
434	1013	1316
435	1020	1319
436	1025	1321
437	1029	1321
438	1034	1321
439	1039	1322
440	1047	1327
441	1052	1329
442	1058	1331
443	1062	1330
444	1064	1328
445	1067	1326
446	1070	1324
447	1073	1322
448	1076	1320
449	1079	1318
450	1081	1316
451	1084	1314
452	1087	1313
453	1094	1316
454	1098	1315
455	1104	1317
456	1112	1322
457	1118	1323
458	1121	1322
459	1127	1323
460	1130	1321
461	1133	1319
462	1135	1317
463	1139	1316
464	1142	1314
465	1145	1313
466	1148	1311
467	1151	1308
468	1153	1306
469	1157	1305
470	1160	1303
471	1162	1300
472	1164	1297
473	1166	1294
474	1169	1292
475	1171	1290
476	1174	1287
477	1177	1285
478	1179	1282
479	1180	1279
480	1182	1276
481	1184	1273
482	1187	1270
483	1189	1267
484	1191	1264
485	1193	1261
486	1194	1258
487	1196	1255
488	1198	1252
489	1200	1249
490	1202	1246
491	1204	1243
492	1206	1241
493	1208	1237
494	1210	1234
495	1212	1231
496	1214	1228
497	1215	1225
498	1217	1222
499	1220	1220
500	1222	1217
501	1223	1214
502	1225	1211
503	1227	1207
504	1229	1204
505	1231	1201
506	1232	1198
507	1235	1196
508	1237	1193
509	1239	1190
510	1241	1187
511	1242	1184
512	1244	1181
513	1246	1178
514	1248	1175
515	1250	1172
516	1254	1171
517	1255	1168
518	1257	1165
519	1259	1162
520	1261	1159
521	1263	1156
522	1264	1153
523	1266	1150
524	1269	1148
525	1271	1145
526	1273	1142
527	1274	1139
528	1276	1136
529	1278	1133
530	1280	1130
531	1282	1128
532	1285	1126
533	1287	1123
534	1289	1120
535	1291	1117
536	1292	1114
537	1294	1111
538	1296	1109
539	1299	1106
540	1302	1104
541	1304	1102
542	1307	1100
543	1308	1097
544	1310	1094
545	1312	1091
546	1315	1089
547	1318	1087
548	1320	1084
549	1322	1081
550	1324	1079
551	1326	1076
552	1328	1073
553	1331	1071
554	1333	1069
555	1335	1066
556	1337	1063
557	1339	1060
558	1340	1057
559	1342	1055
560	1344	1052
561	1346	1049
562	1348	1047
563	1351	1044
564	1352	1041
565	1354	1038
566	1356	1035
567	1358	1032
568	1359	1029
569	1361	1027
570	1364	1025
571	1367	1022
572	1368	1020
573	1370	1017
574	1372	1014
575	1374	1011
576	1376	1008
577	1378	1006
578	1380	1003
579	1382	1001
580	1384	998
581	1386	995
582	1388	992
583	1390	990
584	1391	987
585	1394	984
586	1396	982
587	1398	979
588	1400	977
589	1402	974
590	1403	971
591	1405	968
592	1407	965
593	1409	963
594	1411	961
595	1414	958
596	1415	955
597	1417	952
598	1419	950
599	1420	947
600	1422	944
601	1424	941
602	1426	939
603	1428	936
604	1430	934
605	1432	931
606	1434	928
607	1436	926
608	1438	923
609	1439	920
610	1442	918
611	1444	915
612	1446	913
613	1448	910
614	1449	907
615	1451	904
616	1453	902
617	1455	899
618	1457	896
619	1459	894
620	1461	892
621	1463	889
622	1465	886
623	1467	884
624	1468	881
625	1470	878
626	1472	875
627	1474	873
628	1476	871
629	1478	868
630	1480	865
631	1481	862
632	1483	860
633	1485	857
634	1487	854
635	1489	852
636	1491	849
637	1492	847
638	1494	844
639	1496	841
640	1497	838
641	1499	836
642	1501	833
643	1503	831
644	1506	829
645	1508	826
646	1510	824
647	1512	821
648	1514	819
649	1516	816
650	1518	813
651	1520	811
652	1522	809
653	1524	806
654	1526	803
655	1528	801
656	1530	798
657	1531	796
658	1533	793
659	1535	791
660	1538	788
661	1540	786
662	1542	783
663	1543	781
664	1545	778
665	1547	775
666	1548	773
667	1550	770
668	1553	768
669	1555	766
670	1557	763
671	1558	760
672	1560	758
673	1562	755
674	1563	753
675	1565	750
676	1568	748
677	1570	745
678	1572	743
679	1574	740
680	1575	738
681	1577	735
682	1579	733
683	1581	730
684	1583	728
685	1585	725
686	1587	723
687	1589	720
688	1591	718
689	1592	715
690	1594	713
691	1596	710
692	1598	708
693	1600	705
694	1602	703
695	1604	700
696	1606	698
697	1607	695
698	1609	693
699	1611	690
700	1613	688
701	1615	685
702	1617	683
703	1620	681
704	1621	678
705	1623	676
706	1625	673
707	1627	671
708	1629	668
709	1631	666
710	1633	663
711	1635	661
712	1637	658
713	1638	656
714	1640	654
715	1642	651
716	1644	648
717	1646	646
718	1648	644
719	1650	641
720	1652	639
721	1654	636
722	1655	634
723	1657	631
724	1659	629
725	1660	626
726	1663	624
727	1665	622
728	1667	619
729	1669	617
730	1671	615
731	1673	612
732	1674	610
733	1676	607
734	1678	605
735	1681	603
736	1683	600
737	1684	598
738	1686	595
739	1688	593
740	1690	590
741	1691	588
742	1693	585
743	1696	583
744	1698	581
745	1700	579
746	1702	576
747	1703	574
748	1705	571
749	1707	569
750	1709	566
751	1711	564
752	1713	562
753	1715	559
754	1717	557
755	1719	554
756	1720	552
757	1722	549
758	1724	547
759	1726	545
760	1728	542
761	1730	540
762	1732	538
763	1734	535
764	1736	533
765	1737	530
766	1739	528
767	1741	526
768	1743	523
769	1745	521
770	1747	519
771	1749	516
772	1750	514
773	1752	511
774	1754	509
775	1756	506
776	1758	504
777	1760	502
778	1762	500
779	1764	497
780	1766	495
781	1768	492
782	1770	490
783	1772	488
784	1774	485
785	1776	483
786	1778	481
787	1780	478
788	1782	476
789	1783	474
790	1785	471
791	1787	469
792	1789	467
793	1791	464
794	1793	462
795	1795	460
796	1797	457
797	1799	455
798	1801	453
799	1802	450
800	1804	448
801	1807	446
802	1809	443
803	1810	441
804	1812	439
805	1813	436
806	1815	434
807	1817	431
808	1819	429
809	1821	427
810	1824	425
811	1826	422
812	1828	420
813	1830	418
814	1831	415
815	1833	413
816	1835	411
817	1837	408
818	1839	406
819	1841	404
820	1843	401
821	1845	399
822	1846	397
823	1848	394
824	1850	392
825	1852	390
826	1854	388
827	1856	385
828	1858	383
829	1860	380
830	1861	378
831	1863	376
832	1865	373
833	1866	371
834	1868	369
835	1870	366
836	1872	364
837	1874	362
838	1876	360
839	1877	357
840	1879	355
841	1881	353
842	1883	350
843	1885	348
844	1887	346
845	1889	343
846	1891	341
847	1892	339
848	1894	336
849	1896	334
850	1897	332
851	1899	330
852	1902	327
853	1903	325
854	1905	323
855	1907	320
856	1909	318
857	1910	316
858	1912	313
859	1914	311
860	1916	309
861	1918	307
862	1920	304
863	1922	302
864	1923	300
865	1925	297
866	1927	295
867	1928	293
868	1930	291
869	1932	288
870	1934	286
871	1937	284
872	1938	282
873	1940	279
874	1942	277
875	1943	275
876	1945	272
877	1947	270
878	1949	268
879	1951	266
880	1954	263
881	1956	261
882	1957	259
883	1959	257
884	1961	254
885	1962	252
886	1965	250
887	1967	248
888	1968	245
889	1970	243
890	1972	241
891	1973	238
892	1975	236
893	1977	234
894	1979	232
895	1981	229
896	1983	227
897	1984	225
898	1986	223
899	1988	220
900	1989	218
901	1991	216
902	1993	214
903	1995	211
904	1997	209
905	1999	207
906	2001	205
907	2003	202
908	2004	200
909	2006	198
910	2008	196
911	2009	193
912	2011	191
913	2014	189
914	2015	187
915	2017	184
916	2019	182
917	2020	180
918	2022	178
919	2024	176
920	2025	173
921	2028	171
922	2030	169
923	2032	167
924	2033	164
925	2035	162
926	2037	160
927	2039	158
928	2040	155
929	2042	153
930	2044	151
931	2046	149
932	2048	147
933	2050	144
934	2052	142
935	2053	140
936	2055	138
937	2057	135
938	2059	133
939	2061	131
940	2063	129
941	2065	127
942	2067	124
943	2069	122
944	2071	120
945	2072	118
946	2074	116
947	2077	113
948	2079	111
949	2081	109
950	2082	107
951	2084	105
952	2086	102
953	2088	100
954	2089	98
955	2092	96
956	2094	94
957	2095	91
958	2098	89
959	2099	87
960	2101	85
961	2103	83
962	2105	80
963	2107	78
964	2109	76
965	2111	74
966	2113	72
967	2114	69
968	2116	67
969	2118	65
970	2119	63
971	2121	61
972	2124	58
973	2127	56
974	2130	54
975	2133	52
976	2135	50
977	2137	48
978	2140	45
979	2143	43
980	2145	41
981	2148	39
982	2150	37
983	2152	35
984	2154	32
985	2157	30
986	2159	28
987	2162	26
988	2164	24
989	2166	21
990	2168	19
991	2170	17
992	2172	15
993	2175	13
994	2176	10
995	2178	8
996	2180	6
997	2181	4
998	2183	2
999	2185	0
